,RespHOH_3,Rel1_1,Rel2_4,Education_3,Age_1,Gender_1,Rel3_2,RespHOH_1,Rounds,Rel1_4,subsidy,Education_1,Gender_3,country,Education_4,Rel2_2,envProduction,Education_2,Rel3_1,Rel3_3,Rel1_2,primary_farming_4,production,primary_farming_2,Rel2_3,Age_2,GameID,Gender_4,Rel2_1,Age_3,Gender_2,Rel1_3,Age_4,env,RespHOH_2,primary_farming_3,RespHOH_4,primary_farming_1,Rel3_4,Treatments
44,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,4,0.66,0.0,11.0,0.0,orkney,11.0,1.0,6180.0,15.0,0.33,0.66,1.0,1.0,60.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,103.0,1.0,1.0,1.0,1,0.66,T2
45,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,4,0.66,1.0,11.0,0.0,orkney,11.0,1.0,7380.0,15.0,0.33,0.66,1.0,1.0,90.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,82.0,1.0,1.0,1.0,1,0.66,T3
46,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,4,0.66,0.0,11.0,0.0,orkney,11.0,1.0,8245.0,15.0,0.33,0.66,1.0,1.0,85.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,97.0,1.0,1.0,1.0,1,0.66,T4
47,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,4,0.66,1.0,11.0,0.0,orkney,11.0,1.0,6966.0,15.0,0.33,0.66,1.0,1.0,81.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,86.0,1.0,1.0,1.0,1,0.66,T5
48,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,5,0.66,0.0,11.0,0.0,orkney,11.0,1.0,5537.0,15.0,0.33,0.66,1.0,1.0,49.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,113.0,1.0,1.0,1.0,1,0.66,T2
49,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,5,0.66,1.0,11.0,0.0,orkney,11.0,1.0,6831.0,15.0,0.33,0.66,1.0,1.0,69.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,99.0,1.0,1.0,1.0,1,0.66,T3
50,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,5,0.66,0.0,11.0,0.0,orkney,11.0,1.0,7392.0,15.0,0.33,0.66,1.0,1.0,66.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,112.0,1.0,1.0,1.0,1,0.66,T4
51,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,5,0.66,1.0,11.0,0.0,orkney,11.0,1.0,5766.0,15.0,0.33,0.66,1.0,1.0,62.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,93.0,1.0,1.0,1.0,1,0.66,T5
52,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,6,0.66,0.0,11.0,0.0,orkney,11.0,1.0,4797.0,15.0,0.33,0.66,1.0,1.0,41.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,117.0,1.0,1.0,1.0,1,0.66,T2
53,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,6,0.66,1.0,11.0,0.0,orkney,11.0,1.0,5243.0,15.0,0.33,0.66,1.0,1.0,49.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,107.0,1.0,1.0,1.0,1,0.66,T3
54,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,6,0.66,0.0,11.0,0.0,orkney,11.0,1.0,6976.0,15.0,0.33,0.66,1.0,1.0,64.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,109.0,1.0,1.0,1.0,1,0.66,T4
55,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,6,0.66,1.0,11.0,0.0,orkney,11.0,1.0,4850.0,15.0,0.33,0.66,1.0,1.0,50.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,97.0,1.0,1.0,1.0,1,0.66,T5
56,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,7,0.66,0.0,11.0,0.0,orkney,11.0,1.0,4218.0,15.0,0.33,0.66,1.0,1.0,37.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,114.0,1.0,1.0,1.0,1,0.66,T2
57,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,7,0.66,1.0,11.0,0.0,orkney,11.0,1.0,3740.0,15.0,0.33,0.66,1.0,1.0,34.0,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,110.0,1.0,1.0,1.0,1,0.66,T3
58,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,7,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T4
59,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,7,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T5
60,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,8,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T2
61,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,8,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T3
62,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,8,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T4
63,1.0,0.66,0.66,11.0,53.0,0.0,1.0,1.0,8,0.66,,11.0,0.0,orkney,11.0,1.0,,15.0,0.33,0.66,1.0,1.0,,1.0,0.66,36.0,11ORK,0.0,0.66,59.0,0.0,0.66,68.0,,1.0,1.0,1.0,1,0.66,T5
64,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,1,1.0,0.0,14.0,1.0,orkney,13.0,0.66,9720.0,9.0,1.0,1.0,0.66,1.0,120.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,81.0,0.0,1.0,0.0,1,1.0,T2
65,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,1,1.0,1.0,14.0,1.0,orkney,13.0,0.66,9360.0,9.0,1.0,1.0,0.66,1.0,120.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,78.0,0.0,1.0,0.0,1,1.0,T3
66,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,1,1.0,0.0,14.0,1.0,orkney,13.0,0.66,11160.0,9.0,1.0,1.0,0.66,1.0,120.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,93.0,0.0,1.0,0.0,1,1.0,T4
67,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,1,1.0,1.0,14.0,1.0,orkney,13.0,0.66,9720.0,9.0,1.0,1.0,0.66,1.0,120.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,81.0,0.0,1.0,0.0,1,1.0,T5
68,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,2,1.0,0.0,14.0,1.0,orkney,13.0,0.66,8428.0,9.0,1.0,1.0,0.66,1.0,98.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,86.0,0.0,1.0,0.0,1,1.0,T2
69,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,2,1.0,1.0,14.0,1.0,orkney,13.0,0.66,7150.0,9.0,1.0,1.0,0.66,1.0,110.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,65.0,0.0,1.0,0.0,1,1.0,T3
70,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,2,1.0,0.0,14.0,1.0,orkney,13.0,0.66,9215.0,9.0,1.0,1.0,0.66,1.0,95.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,97.0,0.0,1.0,0.0,1,1.0,T4
71,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,2,1.0,1.0,14.0,1.0,orkney,13.0,0.66,7938.0,9.0,1.0,1.0,0.66,1.0,98.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,81.0,0.0,1.0,0.0,1,1.0,T5
72,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,3,1.0,0.0,14.0,1.0,orkney,13.0,0.66,7474.0,9.0,1.0,1.0,0.66,1.0,74.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,101.0,0.0,1.0,0.0,1,1.0,T2
73,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,3,1.0,1.0,14.0,1.0,orkney,13.0,0.66,8132.0,9.0,1.0,1.0,0.66,1.0,107.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,76.0,0.0,1.0,0.0,1,1.0,T3
74,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,3,1.0,0.0,14.0,1.0,orkney,13.0,0.66,8162.0,9.0,1.0,1.0,0.66,1.0,77.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,106.0,0.0,1.0,0.0,1,1.0,T4
75,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,3,1.0,1.0,14.0,1.0,orkney,13.0,0.66,6992.0,9.0,1.0,1.0,0.66,1.0,92.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,76.0,0.0,1.0,0.0,1,1.0,T5
76,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,4,1.0,0.0,14.0,1.0,orkney,13.0,0.66,7076.0,9.0,1.0,1.0,0.66,1.0,61.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,116.0,0.0,1.0,0.0,1,1.0,T2
77,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,4,1.0,1.0,14.0,1.0,orkney,13.0,0.66,7490.0,9.0,1.0,1.0,0.66,1.0,107.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,70.0,0.0,1.0,0.0,1,1.0,T3
78,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,4,1.0,0.0,14.0,1.0,orkney,13.0,0.66,7215.0,9.0,1.0,1.0,0.66,1.0,65.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,111.0,0.0,1.0,0.0,1,1.0,T4
79,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,4,1.0,1.0,14.0,1.0,orkney,13.0,0.66,6622.0,9.0,1.0,1.0,0.66,1.0,86.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,77.0,0.0,1.0,0.0,1,1.0,T5
80,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,5,1.0,0.0,14.0,1.0,orkney,13.0,0.66,4838.0,9.0,1.0,1.0,0.66,1.0,41.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,118.0,0.0,1.0,0.0,1,1.0,T2
81,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,5,1.0,1.0,14.0,1.0,orkney,13.0,0.66,7854.0,9.0,1.0,1.0,0.66,1.0,102.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,77.0,0.0,1.0,0.0,1,1.0,T3
82,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,5,1.0,0.0,14.0,1.0,orkney,13.0,0.66,6667.0,9.0,1.0,1.0,0.66,1.0,59.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,113.0,0.0,1.0,0.0,1,1.0,T4
83,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,5,1.0,1.0,14.0,1.0,orkney,13.0,0.66,4758.0,9.0,1.0,1.0,0.66,1.0,78.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,61.0,0.0,1.0,0.0,1,1.0,T5
84,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,6,1.0,0.0,14.0,1.0,orkney,13.0,0.66,4092.0,9.0,1.0,1.0,0.66,1.0,31.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,132.0,0.0,1.0,0.0,1,1.0,T2
85,1.0,1.0,1.0,14.0,55.0,0.0,1.0,1.0,6,1.0,1.0,14.0,1.0,orkney,13.0,0.66,6486.0,9.0,1.0,1.0,0.66,1.0,94.0,1.0,1.0,53.0,1EDA,0.0,1.0,43.0,0.0,1.0,42.0,69.0,0.0,1.0,0.0,1,1.0,T3
